2024-12-26 15:48:22 - Server is running on port 8080
2024-12-26 15:48:33 - Exception: Could not open file: words.txt
2024-12-26 15:48:33 - Exception: Could not open file: words.txt
2024-12-26 15:48:33 - Exception: Could not open file: words.txt
2024-12-26 15:48:34 - Exception: Could not open file: words.txt
2024-12-26 15:48:34 - Exception: Could not open file: words.txt
2024-12-26 15:48:35 - Exception: Could not open file: words.txt
2024-12-26 15:48:35 - Exception: Could not open file: words.txt
2024-12-26 15:48:35 - Exception: Could not open file: words.txt
2024-12-26 15:48:36 - Exception: Could not open file: words.txt
2024-12-26 15:48:36 - Exception: Could not open file: words.txt
2024-12-26 15:48:41 - Exception: Could not open file: words.txt
2024-12-26 15:48:41 - Exception: Could not open file: words.txt
2024-12-26 15:48:41 - Exception: Could not open file: words.txt
